year,month,day,effectivity,deep sleep,quality sleep,time asleep,time awake
2021,12,29,"99,6",12101000000000.0,25887000000000.0,32580000000000.0,120000000000.0
2021,12,30,"100,0",11115000000000.0,23433000000000.0,29640000000000.0,0.0
2021,12,31,"93,3",10211000000000.0,20981000000000.0,31560000000000.0,2280000000000.0
2022,1,1,"94,2",11048000000000.0,20179000000000.0,29460000000000.0,1800000000000.0
2022,1,2,"96,3",8404000000000.0,20220000000000.0,29880000000000.0,1140000000000.0
2022,1,3,"100,0",13641000000000.0,21392000000000.0,29100000000000.0,0.0
2022,1,4,"100,0",13718000000000.0,22412000000000.0,30180000000000.0,0.0
2022,1,5,"100,0",12712000000000.0,18837000000000.0,27240000000000.0,0.0
2022,1,6,"94,8",7440000000000.0,18476000000000.0,24180000000000.0,1320000000000.0
2022,1,7,"93,9",13314000000000.0,22148000000000.0,25740000000000.0,1674000000000.0
2022,1,8,"91,4",13872000000000.0,20673000000000.0,26820000000000.0,2520000000000.0
2022,1,9,"94,1",11627000000000.0,22064000000000.0,28620000000000.0,1800000000000.0
2022,1,10,"97,7",10996000000000.0,23031000000000.0,30240000000000.0,720000000000.0
2022,1,11,"100,0",13562000000000.0,19907000000000.0,26220000000000.0,0.0
2022,1,12,"100,0",12651000000000.0,23306000000000.0,29820000000000.0,0.0
2022,1,13,"100,0",11040000000000.0,20452000000000.0,27600000000000.0,0.0
2022,1,14,"87,8",4569000000000.0,16869000000000.0,23760000000000.0,3300000000000.0
2022,1,15,"97,3",13800000000000.0,21872000000000.0,27600000000000.0,780000000000.0
2022,1,16,"97,1",13664000000000.0,22380000000000.0,30060000000000.0,900000000000.0
2022,1,17,"88,4",10254000000000.0,19764000000000.0,26100000000000.0,3420000000000.0
2022,1,18,"100,0",9300000000000.0,20425000000000.0,27900000000000.0,0.0
2022,1,19,"96,7",10100000000000.0,21146000000000.0,30300000000000.0,1020000000000.0
2022,1,20,"100,0",12017000000000.0,21872000000000.0,29580000000000.0,0.0
2022,1,21,"93,8",13008000000000.0,25531000000000.0,32520000000000.0,2160000000000.0
2022,1,22,"100,0",10113000000000.0,20193000000000.0,28500000000000.0,0.0
2022,1,23,"94,3",10777000000000.0,19102000000000.0,27840000000000.0,1680000000000.0
2022,1,24,"87,5",8193000000000.0,18033000000000.0,26400000000000.0,3780000000000.0
2022,1,25,"89,1",11132000000000.0,18384000000000.0,24120000000000.0,2940000000000.0
2022,1,26,"97,4",11942000000000.0,20412000000000.0,26640000000000.0,720000000000.0
2022,1,27,"95,5",10754000000000.0,19437000000000.0,27780000000000.0,1320000000000.0
2022,1,28,"91,5",6334000000000.0,25679000000000.0,33480000000000.0,3120000000000.0
2022,1,29,"88,0",9968000000000.0,18708000000000.0,26280000000000.0,3600000000000.0
2022,1,30,"89,0",9394000000000.0,20744000000000.0,30060000000000.0,3720000000000.0
2022,1,31,"94,7",12090000000000.0,22067000000000.0,29760000000000.0,1680000000000.0
2022,2,1,"90,9",9062000000000.0,19458000000000.0,26280000000000.0,2640000000000.0
2022,2,2,"92,2",15232000000000.0,24186000000000.0,28560000000000.0,2400000000000.0
2022,2,3,"94,0",7234000000000.0,18254000000000.0,25320000000000.0,1620000000000.0
2022,2,4,"100,0",13609000000000.0,22474000000000.0,29940000000000.0,0.0
2022,2,5,"96,2",10487000000000.0,19542000000000.0,25740000000000.0,1020000000000.0
2022,2,6,"91,1",10352000000000.0,22399000000000.0,31920000000000.0,3120000000000.0
2022,2,7,"90,5",11524000000000.0,20131000000000.0,27480000000000.0,2880000000000.0
2022,2,8,"87,9",10477000000000.0,19348000000000.0,25320000000000.0,3480000000000.0
2022,2,9,"88,5",8900000000000.0,19356000000000.0,26700000000000.0,3480000000000.0
2022,2,10,"78,7",10142000000000.0,20104000000000.0,27660000000000.0,7500000000000.0
