effektivitet,djup,ISO8601,kvalitet,sover,vaken
"99,6",03:21:41,2021-12-29 00:00:00,07:11:27,09:03:00,00:02:00
"100,0",03:05:15,2021-12-30 00:00:00,06:30:33,08:14:00,00:00:00
"93,3",02:50:11,2021-12-31 00:00:00,05:49:41,08:46:00,00:38:00
"94,2",03:04:08,2022-01-01 00:00:00,05:36:19,08:11:00,00:30:00
"96,3",02:20:04,2022-01-02 00:00:00,05:37:00,08:18:00,00:19:00
"100,0",03:47:21,2022-01-03 00:00:00,05:56:32,08:05:00,00:00:00
"100,0",03:48:38,2022-01-04 00:00:00,06:13:32,08:23:00,00:00:00
"100,0",03:31:52,2022-01-05 00:00:00,05:13:57,07:34:00,00:00:00
"94,8",02:04:00,2022-01-06 00:00:00,05:07:56,06:43:00,00:22:00
"93,9",03:41:54,2022-01-07 00:00:00,06:09:08,07:09:00,00:27:54
"91,4",03:51:12,2022-01-08 00:00:00,05:44:33,07:27:00,00:42:00
"94,1",03:13:47,2022-01-09 00:00:00,06:07:44,07:57:00,00:30:00
"97,7",03:03:16,2022-01-10 00:00:00,06:23:51,08:24:00,00:12:00
"100,0",03:46:02,2022-01-11 00:00:00,05:31:47,07:17:00,00:00:00
"100,0",03:30:51,2022-01-12 00:00:00,06:28:26,08:17:00,00:00:00
"100,0",03:04:00,2022-01-13 00:00:00,05:40:52,07:40:00,00:00:00
"87,8",01:16:09,2022-01-14 00:00:00,04:41:09,06:36:00,00:55:00
"97,3",03:50:00,2022-01-15 00:00:00,06:04:32,07:40:00,00:13:00
"97,1",03:47:44,2022-01-16 00:00:00,06:13:00,08:21:00,00:15:00
"88,4",02:50:54,2022-01-17 00:00:00,05:29:24,07:15:00,00:57:00
"100,0",02:35:00,2022-01-18 00:00:00,05:40:25,07:45:00,00:00:00
"96,7",02:48:20,2022-01-19 00:00:00,05:52:26,08:25:00,00:17:00
"100,0",03:20:17,2022-01-20 00:00:00,06:04:32,08:13:00,00:00:00
"93,8",03:36:48,2022-01-21 00:00:00,07:05:31,09:02:00,00:36:00
"100,0",02:48:33,2022-01-22 00:00:00,05:36:33,07:55:00,00:00:00
"94,3",02:59:37,2022-01-23 00:00:00,05:18:22,07:44:00,00:28:00
"87,5",02:16:33,2022-01-24 00:00:00,05:00:33,07:20:00,01:03:00
"89,1",03:05:32,2022-01-25 00:00:00,05:06:24,06:42:00,00:49:00
"97,4",03:19:02,2022-01-26 00:00:00,05:40:12,07:24:00,00:12:00
"95,5",02:59:14,2022-01-27 00:00:00,05:23:57,07:43:00,00:22:00
"91,5",01:45:34,2022-01-28 00:00:00,07:07:59,09:18:00,00:52:00
"88,0",02:46:08,2022-01-29 00:00:00,05:11:48,07:18:00,01:00:00
"89,0",02:36:34,2022-01-30 00:00:00,05:45:44,08:21:00,01:02:00
"94,7",03:21:30,2022-01-31 00:00:00,06:07:47,08:16:00,00:28:00
"90,9",02:31:02,2022-02-01 00:00:00,05:24:18,07:18:00,00:44:00
"92,2",04:13:52,2022-02-02 00:00:00,06:43:06,07:56:00,00:40:00
"94,0",02:00:34,2022-02-03 00:00:00,05:04:14,07:02:00,00:27:00
"100,0",03:46:49,2022-02-04 00:00:00,06:14:34,08:19:00,00:00:00
"96,2",02:54:47,2022-02-05 00:00:00,05:25:42,07:09:00,00:17:00
"91,1",02:52:32,2022-02-06 00:00:00,06:13:19,08:52:00,00:52:00
"90,5",03:12:04,2022-02-07 00:00:00,05:35:31,07:38:00,00:48:00
"87,9",02:54:37,2022-02-08 00:00:00,05:22:28,07:02:00,00:58:00
"88,5",02:28:20,2022-02-09 00:00:00,05:22:36,07:25:00,00:58:00
"78,7",02:49:02,2022-02-10 00:00:00,05:35:04,07:41:00,02:05:00
"82,7",01:15:40,2022-02-11 00:00:00,04:58:50,07:34:00,01:35:00
"96,8",02:30:00,2022-02-12 00:00:00,05:22:36,08:00:00,00:16:00
"92,9",02:58:27,2022-02-13 00:00:00,05:33:24,07:41:00,00:35:00
"84,9",02:26:57,2022-02-14 00:00:00,04:24:11,05:38:00,01:00:00
"94,6",02:46:25,2022-02-15 00:00:00,05:37:08,07:49:00,00:27:00
"94,5",01:26:24,2022-02-16 00:00:00,05:11:34,07:12:00,00:25:00
"100,0",01:46:41,2022-02-17 00:00:00,05:37:46,07:22:00,00:00:00
"96,1",01:46:05,2022-02-18 00:00:00,02:30:23,03:17:00,00:08:00
"97,5",03:07:30,2022-02-19 00:00:00,05:56:15,08:20:00,00:13:00
"95,8",03:00:40,2022-02-20 00:00:00,06:11:01,09:02:00,00:24:00
"95,6",04:06:12,2022-02-21 00:00:00,06:14:29,07:57:00,00:22:00
"91,1",02:46:53,2022-02-22 00:00:00,06:20:55,08:51:00,00:52:00
"92,0",03:09:56,2022-02-23 00:00:00,05:36:52,07:39:00,00:40:00
"99,4",03:52:56,2022-02-24 00:00:00,06:52:30,08:48:00,00:03:00
"87,5",02:50:02,2022-02-25 00:00:00,05:48:45,09:01:00,01:17:00
"84,7",01:43:05,2022-02-26 00:00:00,05:06:59,08:06:00,01:28:00
"83,9",02:55:19,2022-02-27 00:00:00,06:00:32,08:30:00,01:38:00
"96,7",04:02:12,2022-02-28 00:00:00,05:51:02,07:19:00,00:15:00
"97,4",03:18:08,2022-03-01 00:00:00,05:38:24,07:22:00,00:12:00
"95,3",03:24:24,2022-03-02 00:00:00,06:20:20,08:31:00,00:25:00
"96,2",03:07:04,2022-03-03 00:00:00,06:14:34,08:50:00,00:21:00
"85,6",02:53:53,2022-03-04 00:00:00,05:10:54,06:51:00,01:09:00
"94,1",02:50:41,2022-03-05 00:00:00,05:38:34,07:30:00,00:28:00
"100,0",02:20:29,2022-03-06 00:00:00,04:21:56,05:59:00,00:00:00
"92,5",01:47:54,2022-03-07 00:00:00,05:14:08,07:27:00,00:36:00
"94,0",02:45:23,2022-03-08 00:00:00,05:32:08,07:16:00,00:28:00
"98,8",01:02:46,2022-03-09 00:00:00,05:07:31,06:48:00,00:05:00
"94,3",03:19:52,2022-03-10 00:00:00,05:34:04,08:12:00,00:30:00
"92,8",03:06:11,2022-03-11 00:00:00,05:30:42,08:32:00,00:40:00
"92,1",02:16:48,2022-03-12 00:00:00,05:28:35,07:36:00,00:39:00
"100,0",03:18:46,2022-03-13 00:00:00,05:46:21,07:54:00,00:00:00
"96,9",02:32:13,2022-03-14 00:00:00,04:49:53,06:51:00,00:13:00
"100,0",03:16:44,2022-03-15 00:00:00,05:36:41,07:34:00,00:00:00
"80,9",03:27:06,2022-03-16 00:00:00,05:56:37,07:42:00,01:49:00
"92,9",03:36:00,2022-03-17 00:00:00,05:46:57,07:12:00,00:33:00
"96,2",02:43:47,2022-03-18 00:00:00,05:11:40,06:42:00,00:16:00
"97,5",02:37:02,2022-03-19 00:00:00,04:52:51,07:04:00,00:11:00
"78,6",02:50:30,2022-03-20 00:00:00,05:53:04,08:16:00,02:15:00
"86,5",02:30:39,2022-03-21 00:00:00,04:42:09,07:47:00,01:13:00
"100,0",02:46:40,2022-03-22 00:00:00,05:42:18,08:20:00,00:00:00
"94,8",02:28:53,2022-03-23 00:00:00,04:52:27,06:42:00,00:22:00
"96,3",01:16:29,2022-03-24 00:00:00,04:23:14,06:53:00,00:16:00
"94,0",03:53:34,2022-03-25 00:00:00,05:48:12,07:16:00,00:28:00
"84,3",00:58:46,2022-03-26 00:00:00,04:57:29,06:22:00,01:11:00
"97,0",03:11:09,2022-03-27 00:00:00,05:35:06,07:26:00,00:14:00
"91,9",02:52:13,2022-03-28 00:00:00,06:12:41,08:21:00,00:44:00
"86,6",02:52:34,2022-03-29 00:00:00,05:15:18,08:22:00,01:18:00
"89,3",02:37:12,2022-03-30 00:00:00,04:44:10,06:33:00,00:47:00
"100,0",02:52:35,2022-03-31 00:00:00,05:33:56,07:35:00,00:00:00
"96,4",03:01:08,2022-04-01 00:00:00,05:36:03,08:03:00,00:18:00
"99,4",02:18:56,2022-04-02 00:00:00,05:47:05,08:14:00,00:03:00
