Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022-04-04,back squat,6,60,7,60,6,60,7,60
2022-04-14,back squat,5,80,5,80,5,80,5,80
2022-04-24,back squat,5,85,5,80,6,75,8,70
2021-12-03,Barbell hacksquat,5,85,5,80,5,75,0,0
2021-12-11,Barbell hacksquat,5,90,6,85,5,85,6,80
2021-12-21,Barbell hacksquat,4,90,5,85,5,85,5,85
2021-12-29,Barbell hacksquat,6,90,6,90,5,90,5,90
2022-01-06,Barbell hacksquat,5,95,5,95,5,95,5,95
2022-01-14,Barbell hacksquat,5,105,5,105,5,105,5,105
2022-01-23,Barbell hacksquat,6,100,5,100,5,100,5,100
2022-02-01,Barbell hacksquat,5,110,5,110,5,110,5,110
2022-02-09,Barbell hacksquat,5,112.5,5,112.5,5,110,5,110
2022-02-20,Barbell hacksquat,5,112.5,4,112.5,4,110,4,110
2022-02-28,Barbell hacksquat,5,110,4,110,4,105,4,105
2022-03-08,Barbell hacksquat,5,110,5,110,5,110,5,110
2022-03-17,Barbell hacksquat,5,112.5,5,112.5,5,110,5,110
2022-03-27,beltsquat,6,45,10,45,7,45,7,45
2021-12-21,Hyperextension,30,0,30,0,28,0,0,0
2021-12-29,Hyperextension,36,0,35,0,32,0,0,0
2021-12-29,Laying leg raise,20,0,18,0,16,0,0,0
2022-01-06,nordic curls,7,0,6,0,5,0,0,0
2021-12-03,Rdls,18,60,16,60,15,60,0,0
2021-12-11,Rdls,16,60,16,60,16,60,16,60
2021-12-21,Rdls,13,70,16,70,16,70,16,70
2021-12-29,Rdls,16,80,15,80,16,70,16,70
2022-01-06,Rdls,16,75,16,80,16,80,14,80
2022-01-14,Rdls,14,90,13,90,12,90,12,90
2022-01-23,Rdls,14,90,14,90,14,90,0,0
2022-02-01,Rdls,11,95,10,95,10,95,0,0
2022-02-09,Rdls,12,95,11,95,10,95,0,0
2022-02-20,Rdls,14,95,12,95,11,95,0,0
2022-02-28,Rdls,14,95,12,95,12,95,0,0
2022-03-08,Rdls,12,100,11,100,11,100,0,0
2022-03-17,Rdls,13,100,12,100,12,100,0,0
2022-03-27,Rdls,12,95,12,90,12,90,0,0
2022-04-04,Rdls,14,90,13,90,13,90,0,0
2022-04-14,Rdls,12,100,12,100,11,100,0,0
2022-04-24,Rdls,12,100,11,100,11,100,0,0
2021-12-03,reverse nordics,12,0,12,0,12,0,0,0
2021-12-11,reverse nordics,16,0,15,0,15,0,0,0
2021-12-21,reverse nordics,14,0,14,0,13,0,0,0
2021-12-29,reverse nordics,16,0,22,0,12,0,0,0
2022-01-06,reverse nordics,12,0,10,0,10,0,0,0
2022-01-14,reverse nordics,18,0,16,0,16,0,0,0
2022-01-23,reverse nordics,16,0,12,0,12,0,0,0
2022-02-01,reverse nordics,12,0,12,0,11,0,0,0
2022-02-09,reverse nordics,13,5,12,0,11,0,0,0
2022-02-20,reverse nordics,16,0,12,0,11,0,0,0
2022-02-28,reverse nordics,14,0,12,0,20,0,0,0
2022-03-08,reverse nordics,16,0,14,0,12,0,0,0
2022-03-17,reverse nordics,14,0,14,0,12,0,0,0
2022-03-27,reverse nordics,16,0,14,0,13,0,0,0
2022-04-04,reverse nordics,0,0,0,0,0,0,0,0
2022-04-14,reverse nordics,16,0,16,0,15,0,0,0
2022-04-24,reverse nordics,13,10,12,10,12,10,0,0
2021-12-03,single leg hyper,8,0,16,0,14,0,0,0
2021-12-11,single leg hyper,22,0,22,0,22,0,0,0
2022-01-14,single leg machine curls,6,5,6,5,6,5,0,0
2022-01-23,single leg machine curls,9,5,7,5,6,5,0,0
2022-02-01,single leg machine curls,10,5,8,5,8,5,0,0
2022-02-09,single leg machine curls,10,5,9,5,9,5,0,0
2022-02-20,single leg machine curls,10,5,9,5,7,5,0,0
2022-02-28,single leg machine curls,11,5,9,5,8,5,0,0
2022-03-08,single leg machine curls,11,5,9,5,8,5,0,0
2022-03-17,single leg machine curls,11,5,9,5,6,5,0,0
2022-03-27,single leg machine curls,11,5,11,5,9,5,0,0
2022-04-04,single leg machine curls,0,0,0,0,0,0,0,0
2022-04-14,single leg machine curls,12,0,15,0,15,0,0,0
2022-04-24,single leg machine curls,11,5,11,5,10,5,0,0
2021-12-03,Tibialis raise,17,0,12,0,10,0,0,0
2021-12-11,Tibialis raise,22,0,15,0,12,0,0,0
2021-12-21,Tibialis raise,20,0,14,0,11,0,0,0
2021-12-29,Tibialis raise,18,0,14,0,12,0,0,0
