exercise,set #,reps,weight,bodyweight,date
barbell hacksquat,1,5.0,85.0,73.68,2021-12-03
barbell hacksquat,2,5.0,80.0,73.68,2021-12-03
barbell hacksquat,3,5.0,75.0,73.68,2021-12-03
romanian deadlifts,1,18.0,60.0,73.68,2021-12-03
romanian deadlifts,2,16.0,60.0,73.68,2021-12-03
romanian deadlifts,3,15.0,60.0,73.68,2021-12-03
reverse nordics,1,12.0,0.0,73.68,2021-12-03
reverse nordics,2,12.0,0.0,73.68,2021-12-03
reverse nordics,3,12.0,0.0,73.68,2021-12-03
single leg hyper,1,8.0,0.0,73.68,2021-12-03
single leg hyper,2,16.0,0.0,73.68,2021-12-03
single leg hyper,3,14.0,0.0,73.68,2021-12-03
tibialis raise,1,17.0,0.0,73.68,2021-12-03
tibialis raise,2,12.0,0.0,73.68,2021-12-03
tibialis raise,3,10.0,0.0,73.68,2021-12-03
bench press,1,5.0,65.0,74.955,2021-12-05
bench press,2,6.0,60.0,74.955,2021-12-05
bench press,3,6.0,57.5,74.955,2021-12-05
dips,1,6.0,0.0,74.955,2021-12-05
dips,2,6.0,-10.0,74.955,2021-12-05
dips,3,9.0,-20.0,74.955,2021-12-05
wide grip rows,1,16.0,41.0,74.955,2021-12-05
wide grip rows,2,15.0,41.0,74.955,2021-12-05
wide grip rows,3,14.0,41.0,74.955,2021-12-05
side lateral,1,15.0,6.0,74.955,2021-12-05
side lateral,2,13.0,6.0,74.955,2021-12-05
side lateral,3,10.0,6.0,74.955,2021-12-05
hamstring curls,1,8.0,60.0,74.46,2021-12-07
hamstring curls,2,8.0,60.0,74.46,2021-12-07
hamstring curls,3,7.0,55.0,74.46,2021-12-07
sumo dl,1,6.0,85.0,74.46,2021-12-07
sumo dl,2,6.0,85.0,74.46,2021-12-07
sumo dl,3,6.0,85.0,74.46,2021-12-07
close grip row,1,16.0,35.0,75.35499999999999,2021-12-09
close grip row,2,16.0,40.0,75.35499999999999,2021-12-09
close grip row,3,15.0,40.0,75.35499999999999,2021-12-09
overhead press,1,5.0,42.5,75.35499999999999,2021-12-09
overhead press,2,5.0,40.0,75.35499999999999,2021-12-09
overhead press,3,6.0,37.5,75.35499999999999,2021-12-09
overhead press,4,7.0,35.0,75.35499999999999,2021-12-09
straight arm pulldown,1,12.0,22.0,75.35499999999999,2021-12-09
straight arm pulldown,2,12.0,22.5,75.35499999999999,2021-12-09
straight arm pulldown,3,10.0,22.5,75.35499999999999,2021-12-09
triceps,1,12.0,30.0,75.35499999999999,2021-12-09
triceps,2,6.0,30.0,75.35499999999999,2021-12-09
