Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2021-12-05,Bench press,5,65,6,60,6,57.5,0,0
2021-12-05,Biceps,6,18,6,16,7,14,0,0
2021-12-05,dips,6,0,6,-10,9,-20,0,0
2021-12-05,Incline db press,8,26,6,26,7,24,0,0
2021-12-05,rear delt row,16,41,15,41,14,41,0,0
2021-12-05,side lateral,15,6,13,6,10,6,0,0
2021-12-13,Band curls,22,0,16,0,16,0,0,0
2021-12-13,decline push ups,9,0,7,0,6,0,6,0
2021-12-13,dips,6,0,6,0,5,0,0,0
2021-12-13,Weighted push ups,6,20,5,17.5,5,15,5,12.5
2021-12-13,wide row,16,19.5,16,19.5,16,19.5,0,0
2021-12-13,Y raise,12,5,12,5,12,5,0,0
2021-12-21,Barbell curls,10,35,10,35,9,35,0,0
2021-12-21,decline push ups,10,0,8,0,7,0,7,0
2021-12-21,dips,6,0,6,0,6,0,0,0
2021-12-21,side lateral,12,5,12,5,8,5,0,0
2021-12-21,Weighted push ups,5,20,4,17.5,4,15,4,12.5
2021-12-21,wide row,20,19.5,18,19.5,18,19.5,0,0
2021-12-31,Barbell curls,11,35,9,35,9,35,0,0
2021-12-31,decline push ups,8,0,6,0,6,0,5,0
2021-12-31,Machine press,13,40,10,40,10,40,0,0
2021-12-31,side lateral,16,10,16,10,16,10,0,0
2021-12-31,Weighted push ups,5,20,5,20,5,17.5,5,15
2021-12-31,wide row,15,30,18,30,16,30,0,0
2022-01-08,Barbell curls,10,37.5,8,37.5,7,37.5,0,0
2022-01-08,decline push ups,9,0,8,0,7,0,6,0
2022-01-08,side lateral,10,3.75,6,3.75,10,0,0,0
2022-01-08,straight arm pulldown,13,15,12,15,10,15,0,0
2022-01-08,Weighted push ups,5,20,4,20,4,17.5,5,15
2022-01-08,wide row,15,40,12,35,15,30,0,0
2022-01-16,Barbell curls,11,37.5,9,37.5,8,37.5,0,0
2022-01-16,decline push ups,7,0,6,0,6,0,5,0
2022-01-16,side lateral,8,3.75,12,0,14,0,0,0
2022-01-16,straight arm pulldown,15,15,12,15,11,15,0,0
2022-01-16,Weighted push ups,5,20,5,17.5,5,15,4,15
2022-01-16,wide row,12,45,13,40,12,40,0,0
2022-01-25,Barbell curls,9,40,8,40,7,40,0,0
2022-01-25,decline push ups,8,0,6,0,6,0,5,0
2022-01-25,side lateral,9,3.75,13,0,13,0,0,0
2022-01-25,straight arm pulldown,14,20,14,20,12,20,0,0
2022-01-25,Weighted push ups,6,20,5,17.5,6,15,4,15
2022-01-25,wide row,14,45,13,45,13,45,0,0
2022-02-03,Barbell curls,10,40,9,40,7,40,0,0
2022-02-03,decline push ups,7,0,7,0,6,0,5,0
2022-02-03,side lateral,15,0,14,0,9,0,0,0
2022-02-03,straight arm pulldown,16,20,13,20,10,20,0,0
2022-02-03,Weighted push ups,5,20,5,17.5,5,15,5,12.5
2022-02-03,wide row,12,50,12,50,10,50,0,0
2022-02-13,Barbell curls,8,42.5,6,42.5,5,42.5,0,0
2022-02-13,decline push ups,9,0,6,0,6,0,5,0
2022-02-13,side lateral,16,0,16,0,16,0,0,0
2022-02-13,straight arm pulldown,14,20,12,20,10,20,0,0
2022-02-13,Weighted push ups,4,20,6,15,5,15,6,12.5
2022-02-13,wide row,10,55,10,55,8,55,0,0
2022-02-22,Barbell curls,8,42.5,7,42.5,6,42.5,0,0
2022-02-22,decline push ups,9,0,6,0,6,0,6,0
2022-02-22,side lateral,18,0,18,0,18,0,0,0
2022-02-22,straight arm pulldown,16,20,14,20,12,20,0,0
2022-02-22,Weighted push ups,5,20,5,20,5,17.5,4,15
2022-02-22,wide row,12,55,11,55,10,55,0,0
2022-03-02,Barbell curls,10,42.5,8,42.5,7,42.5,0,0
2022-03-02,decline push ups,9,0,7,0,6,0,6,0
2022-03-02,Ring push ups,6,5,5,5,5,5,5,0
2022-03-02,side lateral,21,0,21,0,20,0,0,0
2022-03-02,straight arm pulldown,16,20,14,20,12,20,0,0
2022-03-02,wide row,12,55,11,55,10,55,0,0
2022-03-10,Barbell curls,9,45,7,45,6,45,0,0
2022-03-10,decline push ups,9,0,7,0,6,0,6,0
2022-03-10,Ring push ups,5,10,5,10,5,7.5,5,5
2022-03-10,side lateral,20,0,20,0,18,0,0,0
2022-03-10,straight arm pulldown,10,0,10,0,9,0,0,0
2022-03-10,wide row,14,55,12,55,12,55,0,0
2022-03-20,Barbell curls,9,45,7,45,7,45,0,0
2022-03-20,decline push ups,9,0,7,0,6,0,6,0
2022-03-20,inverted delt row,16,5,12,7,12,7,0,0
2022-03-20,Ring push ups,5,10,5,10,4,7.5,5,5
2022-03-20,side lateral,20,0,16,0,16,0,0,0
2022-03-20,straight arm pulldown,8,25,14,20,12,20,0,0
2022-03-29,Barbell curls,9,45,7,45,6,45,0,0
2022-03-29,decline push ups,10,0,7,0,6,0,6,0
2022-03-29,inverted delt row,13,0,12,0,12,0,0,0
2022-03-29,Ring push ups,5,7.5,5,6.25,5,5,4,3.75
2022-03-29,side lateral,24,0,22,0,22,0,0,0
2022-03-29,straight arm pulldown,3,25,12,20,10,20,0,0
2022-04-07,Barbell benchpress,3,70,5,65,4,65,4,60
