year,month,day,exercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2021,12,3,Barbell hacksquat,5.0,85.0,5,80.0,5.0,75.0,0,0.0
2021,12,3,Rdls,18.0,60.0,16,60.0,15.0,60.0,0,0.0
2021,12,3,reverse nordics,12.0,0.0,12,0.0,12.0,0.0,0,0.0
2021,12,3,single leg hyper,8.0,0.0,16,0.0,14.0,0.0,0,0.0
2021,12,3,Tibialis raise,17.0,0.0,12,0.0,10.0,0.0,0,0.0
2021,12,5,Bench press,5.0,65.0,6,60.0,6.0,57.5,0,0.0
2021,12,5,Biceps,6.0,18.0,6,16.0,7.0,14.0,0,0.0
2021,12,5,dips,6.0,0.0,6,-10.0,9.0,-20.0,0,0.0
2021,12,5,Incline db press,8.0,26.0,6,26.0,7.0,24.0,0,0.0
2021,12,5,rear delt row,16.0,41.0,15,41.0,14.0,41.0,0,0.0
2021,12,5,side lateral,15.0,6.0,13,6.0,10.0,6.0,0,0.0
2021,12,7,Calves,12.0,127.0,12,118.0,10.0,109.0,0,0.0
2021,12,7,Hamstring curls,8.0,60.0,8,60.0,7.0,55.0,0,0.0
2021,12,7,leg press,4.0,82.0,6,73.0,6.0,62.0,0,0.0
2021,12,7,oblique maskin,16.0,32.0,20,25.0,20.0,25.0,0,0.0
2021,12,7,Quad extensions,16.0,68.0,12,68.0,12.0,68.0,0,0.0
2021,12,7,Sumo DL,6.0,85.0,6,85.0,6.0,85.0,0,0.0
2021,12,9,Close grip row,16.0,35.0,16,40.0,15.0,40.0,0,0.0
2021,12,9,Militärpress,5.0,42.5,5,40.0,6.0,37.5,7,35.0
2021,12,9,Single leg hyper extensions,16.0,0.0,16,0.0,16.0,0.0,0,0.0
2021,12,9,straight arm pulldown,12.0,22.0,12,22.5,10.0,22.5,0,0.0
2021,12,9,Triceps,12.0,30.0,6,30.0,10.0,25.0,0,0.0
2021,12,9,Weighted Pull ups,5.0,13.75,5,12.5,6.0,10.0,6,7.5
2021,12,11,Barbell hacksquat,5.0,90.0,6,85.0,5.0,85.0,6,80.0
2021,12,11,Rdls,16.0,60.0,16,60.0,16.0,60.0,16,60.0
2021,12,11,reverse nordics,16.0,0.0,15,0.0,15.0,0.0,0,0.0
2021,12,11,single leg hyper,22.0,0.0,22,0.0,22.0,0.0,0,0.0
2021,12,11,Tibialis raise,22.0,0.0,15,0.0,12.0,0.0,0,0.0
2021,12,13,Band curls,22.0,0.0,16,0.0,16.0,0.0,0,0.0
2021,12,13,decline push ups,9.0,0.0,7,0.0,6.0,0.0,6,0.0
2021,12,13,dips,6.0,0.0,6,0.0,5.0,0.0,0,0.0
2021,12,13,Weighted push ups,6.0,20.0,5,17.5,5.0,15.0,5,12.5
2021,12,13,wide row,16.0,19.5,16,19.5,16.0,19.5,0,0.0
2021,12,13,Y raise,12.0,5.0,12,5.0,12.0,5.0,0,0.0
2021,12,17,Axelpress,6.0,19.5,5,19.5,5.0,19.5,4,19.5
