Date;Week;sets:;excercise;set 1;set 2;set 3;set 4;rest (min);comments;Starta Workout p klockan!;;;
2022-11-08;46;4;Sumo Deadlifts;5 x 122.5kg;5 x 115;5 x 110;5 x 110;4;set 1 mer vikt p vnster sida;;;;
;;3;BW Pull ups;11;8;6;;3;;;;;
;;3;Dips;10;8;6;;0;;;;;
;;3;Calves;15 x 12kg;12 x 12;10 x 12;;0;;;;;
;;3;triceps;11;7?;7 + finisher;;2;ring;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-11-16;47;4;Sumo Deadlifts;5 x 120kg;5 x 115;5 x 110;7 x 100;4;;;;;
;;3;BW Chin ups;11;9;8;;3;;;;;
;;3;Dips;12;9;7;;0;;;;;
;;3;Calves;11 x 15.75kg;11 x 15.75;10 x 15.75;;0;;;;;
;;3;triceps;10;9;8 + finisher;;3;ring;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-11-24;48;4;Sumo Deadlifts;4 x 120kg;5 x 110;5 x 110;7 x 100;4;;;;;
;;3;BW Chin ups;13;9;8;;3;;;;;
;;3;Dips;12;9;8;;0;;;;;
;;3;Calves;14  x 15.75kg;12 x 15.75;10 x 15.75;;0;;;;;
;;3;triceps;12;10;9 + finisher;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
2022-12-04;49;4;Sumo Deadlifts;1 x 120kg;5 x 110;5 x 105;6 x 100;4;;;;;
;;3;BW Chin ups;13;9;8;;3;;;;;
;;3;Dips;11;9;7;;0;;;;;
;;3;Calves;13 x 17 kg;11 x 17;10 x 17;;0;;;;;
;;3;triceps;13;10;8 + finisher;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;dlig smn;;;;
2022-12-12;51;4;Conventional Deadlifts;5 x 110kg;5 x 105;5 x 105;6 x 100;4;;;;;
;;3;BW Chin ups;14;9;8;;3;;;;;
;;3;Dips;10;7;6;;0;bakochfram;;;;
;;3;Calves;11 x  24.5 kg;10 x 24.5;9 x 24.5;;0;;;;;
;;3;triceps;12;10;8 + finisher;;2;;;;;
;;3;;;;;;;;;;;
;;19;;;;;;;;;;;
