Date,Excercise,Sum of Reps,Sum of Weight,Sum of Set #
2021-12-03,Barbell hacksquat,15,240,10
2021-12-03,Rdls,49,180,10
2021-12-03,reverse nordics,36,0,10
2021-12-03,single leg hyper,38,0,10
2021-12-03,Tibialis raise,39,0,10
2021-12-05,Bench press,17,182.5,10
2021-12-05,Biceps,19,48,10
2021-12-05,dips,21,-30,10
2021-12-05,Incline db press,21,76,10
2021-12-05,rear delt row,45,123,10
2021-12-05,side lateral,38,18,10
2021-12-07 00:00:00,Calves,34,354,10
2021-12-07 00:00:00,Hamstring curls,23,175,10
2021-12-07 00:00:00,leg press,16,217,10
2021-12-07 00:00:00,oblique maskin,56,82,10
2021-12-07 00:00:00,Quad extensions,40,204,10
2021-12-07 00:00:00,Sumo DL,18,255,10
2021-12-09,Close grip row,47,115,10
2021-12-09,Militärpress,23,155,10
2021-12-09,Single leg hyper extensions,48,0,10
2021-12-09,straight arm pulldown,34,67,10
2021-12-09,Triceps,28,85,10
2021-12-09,Weighted Pull ups,22,43.75,10
2021-12-11,Barbell hacksquat,22,340,10
2021-12-11,Rdls,64,240,10
2021-12-11,reverse nordics,46,0,10
2021-12-11,single leg hyper,66,0,10
2021-12-11,Tibialis raise,49,0,10
2021-12-13,Band curls,54,0,10
2021-12-13,decline push ups,28,0,10
2021-12-13,dips,17,0,10
2021-12-13,Weighted push ups,21,65,10
2021-12-13,wide row,48,58.5,10
2021-12-13,Y raise,36,15,10
2021-12-17,Axelpress,20,78,10
2021-12-17,Close grip row,40,0,10
2021-12-17,Hyper extensions,78,0,10
2021-12-17,straight arm pulldown,41,45,10
2021-12-17,Triceps,46,55,10
2021-12-17,Weighted Pull ups,21,55,10
2021-12-21,Barbell curls,29,105,10
2021-12-21,Barbell hacksquat,19,345,10
2021-12-21,decline push ups,32,0,10
2021-12-21,dips,18,0,10
2021-12-21,Hyperextension,88,0,10
2021-12-21,Rdls,61,280,10
2021-12-21,reverse nordics,41,0,10
2021-12-21,side lateral,32,15,10
2021-12-21,Tibialis raise,45,0,10
2021-12-21,Weighted push ups,17,65,10
2021-12-21,wide row,56,58.5,10
2021-12-25 00:00:00,ATG split squat,46,50,10
2021-12-25 00:00:00,Nordic curls,43,0,10
2021-12-25 00:00:00,Sumo DL,24,360,10
2021-12-25 00:00:00,utfall?,60,0,10
2021-12-27,Axelpress,22,140,10
2021-12-27,Close grip row,48,58.5,10
2021-12-27,Hyper extensions,68,36,10
2021-12-27,Overhead band Triceps,31,0,10
2021-12-27,straight arm pulldown,35,55,10
2021-12-27,Weighted Pull ups,18,52.5,10
2021-12-29,Barbell hacksquat,22,360,10
2021-12-29,Hyperextension,103,0,10
2021-12-29,Laying leg raise,54,0,10
2021-12-29,Rdls,63,300,10
2021-12-29,reverse nordics,50,0,10
2021-12-29,Tibialis raise,44,0,10
2021-12-31,Barbell curls,29,105,10
