Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022-03-04 00:00:00,ATG split squat,5,34,7,29,7,29,0,0
2022-02-15 00:00:00,ATG split squat,6,29,6,29,5,29,0,0
2022-03-22 00:00:00,ATG split squat,6,31.5,6,31.5,5,31.5,0,0
2022-03-31 00:00:00,ATG split squat,6,31.5,6,31.5,6,31.5,0,0
2022-03-12 00:00:00,ATG split squat,6,34,6,31.5,6,31.5,0,0
2022-04-18 00:00:00,ATG split squat,6,34,6,34,6,34,0,0
2022-02-24 00:00:00,ATG split squat,7,29,7,29,7,29,0,0
2022-04-09 00:00:00,ATG split squat,8,31.5,7,31.5,7,31.5,0,0
2022-01-02 00:00:00,ATG split squat,10,20,8,20,7,20,7,20
2022-01-19 00:00:00,ATG split squat,10,20,9,20,8,20,0,0
2021-12-25 00:00:00,ATG split squat,10,20,14,10,12,10,10,10
2022-01-10 00:00:00,ATG split squat,11,20,9,20,7,20,7,20
2022-01-28 00:00:00,ATG split squat,11,20,10,20,9,20,0,0
2022-02-06 00:00:00,ATG split squat,12,20,10,20,9,20,0,0
2021-12-07 00:00:00,Calves,12,127,12,118,10,109,0,0
2021-12-07 00:00:00,Hamstring curls,8,60,8,60,7,55,0,0
2022-01-10 00:00:00,leg curls,7,10,13,5,11,5,0,0
2022-03-31 00:00:00,leg curls,9,5,8,5,8,5,0,0
2022-01-19 00:00:00,leg curls,9,5,9,5,7,5,0,0
2022-01-28 00:00:00,leg curls,10,5,7,5,7,5,0,0
2022-02-06 00:00:00,leg curls,10,5,9,5,7,5,0,0
2022-03-12 00:00:00,leg curls,10,5,9,5,8,5,0,0
2022-03-22 00:00:00,leg curls,10,5,9,5,8,5,0,0
2022-02-15 00:00:00,leg curls,11,5,9,5,9,5,0,0
2022-02-24 00:00:00,leg curls,12,5,10,5,8,5,0,0
2022-01-02 00:00:00,leg curls,16,5,12,5,12,5,0,0
2021-12-07 00:00:00,leg press,4,82,6,73,6,62,0,0
2021-12-25 00:00:00,Nordic curls,16,0,15,0,12,0,0,0
2021-12-07 00:00:00,oblique maskin,16,32,20,25,20,25,0,0
2021-12-07 00:00:00,Quad extensions,16,68,12,68,12,68,0,0
2022-03-22 00:00:00,Regular DL,5,90,5,100,5,100,5,100
2022-04-09 00:00:00,Regular DL,5,110,6,105,6,105,5,105
2022-04-18 00:00:00,Regular DL,5,115,5,115,5,115,4,115
2022-03-31 00:00:00,Regular DL,6,105,6,105,5,105,6,105
2022-01-10 00:00:00,Sissy sqauts,6,0,6,0,6,0,0,0
2022-01-19 00:00:00,Sissy squats,7,0,7,0,7,0,0,0
2022-01-28 00:00:00,Sissy squats,7,0,7,0,7,0,0,0
2022-02-06 00:00:00,Sissy squats,8,0,7,0,7,0,0,0
2022-02-15 00:00:00,Sissy squats,9,0,8,0,8,0,0,0
2022-02-24 00:00:00,Sissy squats,9,0,8,0,8,0,0,0
2022-03-12 00:00:00,Sissy squats,12,0,11,0,10,0,0,0
2022-03-22 00:00:00,Sissy squats,12,0,12,0,12,0,0,0
2022-04-18 00:00:00,Sissy squats,17,0,16,0,10,10,0,0
2022-01-10 00:00:00,Sumo DL,4,100,6,95,6,95,6,95
2022-01-02 00:00:00,Sumo DL,5,95,5,95,5,90,5,90
2022-02-06 00:00:00,Sumo DL,5,110,5,110,5,110,5,110
2022-02-15 00:00:00,Sumo DL,5,110,6,105,6,105,6,105
2022-03-04 00:00:00,Sumo DL,5,112.5,5,112.5,5,112.5,5,110
2022-03-12 00:00:00,Sumo DL,5,112.5,5,112.5,5,112.5,5,112.5
2021-12-07 00:00:00,Sumo DL,6,85,6,85,6,85,0,0
2021-12-25 00:00:00,Sumo DL,6,90,6,90,6,90,6,90
2022-01-19 00:00:00,Sumo DL,6,100,5,100,5,100,5,100
2022-01-28 00:00:00,Sumo DL,6,105,6,105,6,105,5,105
2022-02-24 00:00:00,Sumo DL,6,110,5,110,5,110,5,110
2022-01-02 00:00:00,Utfall,26,0,24,0,24,0,0,0
2021-12-25 00:00:00,utfall?,20,0,20,0,20,0,0,0
Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022-04-04,back squat,6,60,7,60,6,60,7,60
2022-04-14,back squat,5,80,5,80,5,80,5,80
2022-04-24,back squat,5,85,5,80,6,75,8,70
2021-12-03,Barbell hacksquat,5,85,5,80,5,75,0,0
2021-12-11,Barbell hacksquat,5,90,6,85,5,85,6,80
2021-12-21,Barbell hacksquat,4,90,5,85,5,85,5,85
2021-12-29,Barbell hacksquat,6,90,6,90,5,90,5,90
2022-01-06,Barbell hacksquat,5,95,5,95,5,95,5,95
2022-01-14,Barbell hacksquat,5,105,5,105,5,105,5,105
2022-01-23,Barbell hacksquat,6,100,5,100,5,100,5,100
2022-02-01,Barbell hacksquat,5,110,5,110,5,110,5,110
2022-02-09,Barbell hacksquat,5,112.5,5,112.5,5,110,5,110
2022-02-20,Barbell hacksquat,5,112.5,4,112.5,4,110,4,110
2022-02-28,Barbell hacksquat,5,110,4,110,4,105,4,105
2022-03-08,Barbell hacksquat,5,110,5,110,5,110,5,110
2022-03-17,Barbell hacksquat,5,112.5,5,112.5,5,110,5,110
2022-03-27,beltsquat,6,45,10,45,7,45,7,45
2021-12-21,Hyperextension,30,0,30,0,28,0,0,0
2021-12-29,Hyperextension,36,0,35,0,32,0,0,0
2021-12-29,Laying leg raise,20,0,18,0,16,0,0,0
2022-01-06,nordic curls,7,0,6,0,5,0,0,0
2021-12-03,Rdls,18,60,16,60,15,60,0,0
2021-12-11,Rdls,16,60,16,60,16,60,16,60
2021-12-21,Rdls,13,70,16,70,16,70,16,70
2021-12-29,Rdls,16,80,15,80,16,70,16,70
2022-01-06,Rdls,16,75,16,80,16,80,14,80
2022-01-14,Rdls,14,90,13,90,12,90,12,90
2022-01-23,Rdls,14,90,14,90,14,90,0,0
2022-02-01,Rdls,11,95,10,95,10,95,0,0
2022-02-09,Rdls,12,95,11,95,10,95,0,0
2022-02-20,Rdls,14,95,12,95,11,95,0,0
2022-02-28,Rdls,14,95,12,95,12,95,0,0
2022-03-08,Rdls,12,100,11,100,11,100,0,0
2022-03-17,Rdls,13,100,12,100,12,100,0,0
2022-03-27,Rdls,12,95,12,90,12,90,0,0
2022-04-04,Rdls,14,90,13,90,13,90,0,0
2022-04-14,Rdls,12,100,12,100,11,100,0,0
2022-04-24,Rdls,12,100,11,100,11,100,0,0
2021-12-03,reverse nordics,12,0,12,0,12,0,0,0
2021-12-11,reverse nordics,16,0,15,0,15,0,0,0
2021-12-21,reverse nordics,14,0,14,0,13,0,0,0
2021-12-29,reverse nordics,16,0,22,0,12,0,0,0
2022-01-06,reverse nordics,12,0,10,0,10,0,0,0
2022-01-14,reverse nordics,18,0,16,0,16,0,0,0
2022-01-23,reverse nordics,16,0,12,0,12,0,0,0
2022-02-01,reverse nordics,12,0,12,0,11,0,0,0
2022-02-09,reverse nordics,13,5,12,0,11,0,0,0
2022-02-20,reverse nordics,16,0,12,0,11,0,0,0
2022-02-28,reverse nordics,14,0,12,0,20,0,0,0
2022-03-08,reverse nordics,16,0,14,0,12,0,0,0
2022-03-17,reverse nordics,14,0,14,0,12,0,0,0
2022-03-27,reverse nordics,16,0,14,0,13,0,0,0
2022-04-04,reverse nordics,0,0,0,0,0,0,0,0
2022-04-14,reverse nordics,16,0,16,0,15,0,0,0
2022-04-24,reverse nordics,13,10,12,10,12,10,0,0
2021-12-03,single leg hyper,8,0,16,0,14,0,0,0
2021-12-11,single leg hyper,22,0,22,0,22,0,0,0
2022-01-14,single leg machine curls,6,5,6,5,6,5,0,0
2022-01-23,single leg machine curls,9,5,7,5,6,5,0,0
2022-02-01,single leg machine curls,10,5,8,5,8,5,0,0
2022-02-09,single leg machine curls,10,5,9,5,9,5,0,0
2022-02-20,single leg machine curls,10,5,9,5,7,5,0,0
2022-02-28,single leg machine curls,11,5,9,5,8,5,0,0
2022-03-08,single leg machine curls,11,5,9,5,8,5,0,0
2022-03-17,single leg machine curls,11,5,9,5,6,5,0,0
2022-03-27,single leg machine curls,11,5,11,5,9,5,0,0
2022-04-04,single leg machine curls,0,0,0,0,0,0,0,0
2022-04-14,single leg machine curls,12,0,15,0,15,0,0,0
2022-04-24,single leg machine curls,11,5,11,5,10,5,0,0
2021-12-03,Tibialis raise,17,0,12,0,10,0,0,0
2021-12-11,Tibialis raise,22,0,15,0,12,0,0,0
2021-12-21,Tibialis raise,20,0,14,0,11,0,0,0
2021-12-29,Tibialis raise,18,0,14,0,12,0,0,0
Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2021-12-09,Close grip row,16,35,16,40,15,40,0,0
2021-12-09,Militärpress,5,42.5,5,40,6,37.5,7,35
2021-12-09,Single leg hyper extensions,16,0,16,0,16,0,0,0
2021-12-09,straight arm pulldown,12,22,12,22.5,10,22.5,0,0
2021-12-09,Triceps,12,30,6,30,10,25,0,0
2021-12-09,Weighted Pull ups,5,13.75,5,12.5,6,10,6,7.5
2021-12-17,Axelpress,6,19.5,5,19.5,5,19.5,4,19.5
2021-12-17,Close grip row,15,0,13,0,12,0,0,0
2021-12-17,Hyper extensions,28,0,25,0,25,0,0,0
2021-12-17,straight arm pulldown,15,15,13,15,13,15,0,0
2021-12-17,Triceps,22,15,12,20,12,20,0,0
2021-12-17,Weighted Pull ups,6,15,5,15,5,12.5,5,12.5
2021-12-27,Axelpress,5,40,6,35,5,35,6,30
2021-12-27,Close grip row,18,19.5,16,19.5,14,19.5,0,0
2021-12-27,Hyper extensions,25,10,25,10,18,16,0,0
2021-12-27,Overhead band Triceps,12,0,10,0,9,0,0,0
2021-12-27,straight arm pulldown,10,20,10,20,15,15,0,0
2021-12-27,Weighted Pull ups,5,15,5,15,4,12.5,4,10
2022-01-04,Axelpress,7,19.5,6,19.5,5,19.5,5,19.5
2022-01-04,Axelpress,9,30,7,30,9,25,0,0
2022-01-04,Overhead band Triceps,13,0,11,0,10,0,0,0
2022-01-04,Single arm Band row,30,0,24,0,20,0,0,0
2022-01-04,straight arm pulldown,9,20,16,15,15,15,0,0
2022-01-04,Weighted Chin ups,6,15,5,12.5,5,10,4,10
2022-01-12,Axelpress,8,19.5,7,19.5,5,19.5,5,19.5
2022-01-12,decline press,10,0,9,0,8,0,0,0
2022-01-12,inverted row,13,0,12,0,12,0,0,0
2022-01-12,lat pulldown,15,50,10,55,8,55,0,0
2022-01-12,Overhead band Triceps,11,0,11,0,9,0,0,0
2022-01-12,Weighted Chin ups,5.5,15,5,12.5,5,10,4,10
2022-01-21, band Triceps pushdowns,17,0,18,0,16,0,0,0
2022-01-21,Axelpress,9,19.5,7,19.5,5,19.5,5,19.5
2022-01-21,decline press,9,0,8,0,7,0,0,0
2022-01-21,inverted row,14,0,13,0,13,0,0,0
2022-01-21,lat pulldown,12,55,10,55,8,55,0,0
2022-01-21,Weighted Chin ups,6,15,5,15,5,12.5,5,10
2022-01-30, band Triceps pushdowns,16,0,16,0,16,0,0,0
2022-01-30,Axelpress,6,22,4,22,6,19.5,5,19.5
2022-01-30,decline press,11,0,9,0,7,0,0,0
2022-01-30,inverted row,15,0,14,0,12,0,0,0
2022-01-30,lat pulldown,13,55,10,55,8,55,0,0
2022-01-30,Weighted Chin ups,6,16.25,5,15,5,13.75,5,12.5
2022-02-07, band Triceps pushdowns,18,0,16,0,16,0,0,0
2022-02-07,Axelpress,6,22,5,22,6,19.5,5,19.5
2022-02-07,decline press,12,0,10,0,8,0,0,0
2022-02-07,inverted row,13,0,13,0,12,0,0,0
2022-02-07,lat pulldown,10,60,8,60,8,55,0,0
2022-02-07,Weighted Chin ups,6,16.25,5,16.25,5,13.75,5,12.5
2022-02-18, band Triceps pushdowns,16,0,15,0,14,0,0,0
2022-02-18,Axelpress,6,22,5,22,6,19.5,5,19.5
2022-02-18,decline press,12,0,10,0,9,0,0,0
2022-02-18,inverted row,12,0,12,0,12,0,0,0
2022-02-18,lat pulldown,10,60,8,60,10,55,0,0
2022-02-18,Weighted Pull ups,5,16.25,5,15,5,13.75,5,12.5
2022-02-26, band Triceps pushdowns,16,0,15,0,14,0,0,0
2022-02-26,Axelpress,6,22,6,22,4,22,6,19.5
2022-02-26,decline press,11,0,9,0,8,0,0,0
2022-02-26,lat pulldown,12,60,9,60,8,60,0,0
2022-02-26,ring Rows,11,0,11,0,9,0,0,0
2022-02-26,Weighted Pull ups,5,16.25,5,15,4,12.5,5,10
2022-03-06, band Triceps pushdowns,16,0,15,0,15,0,0,0
2022-03-06,Axelpress,6,22,5,22,7,19.5,6,19.5
2022-03-06,decline press,11,0,10,0,8,0,0,0
2022-03-06,lat pulldown,10,65,8,65,7,65,0,0
2022-03-06,ring Rows,11,0,11,0,11,0,0,0
2022-03-06,Weighted Pull ups,5,16.25,5,13.75,4,12.5,5,10
2022-03-14, band Triceps pushdowns,0,0,0,0,0,0,0,0
2022-03-14,Axelpress,8,0,7,0,7,0,7,0
2022-03-14,decline press,0,0,0,0,0,0,0,0
2022-03-14,lat pulldown,0,0,0,0,0,0,0,0
2022-03-14,ring Rows,0,0,0,0,0,0,0,0
2022-03-14,Weighted Pull ups,12,0,8,0,6,0,6,0
2022-03-25, band Triceps extensions,13,0,9,0,9,0,0,0
2022-03-25,Axelpress,7,20,6,20.75,4,20.75,4,20.75
2022-03-25,decline press,12,0,10,0,8,0,0,0
2022-03-25,lat pulldown,8,65,8,60,10,55,0,0
2022-03-25,ring Rows,12,0,11,0,10,0,0,0
2022-03-25,Weighted Pull ups,4,13.75,5,11.25,4,8.75,4,7.5
2022-04-02, band Triceps extensions,10,0,8,0,8,0,0,0
2022-04-02,Axelpress,8,20,5,20.75,5,20.75,4,20.75
2022-04-02,decline press,11,0,9,0,9,0,0,0
2022-04-02,lat pulldown,9,65,7,65,8,60,0,0
2022-04-02,ring Rows,12,0,11,0,10,0,0,0
2022-04-02,Weighted Pull ups,5,13.75,5,11.25,5,8.75,5,7.5
2022-04-10, band Triceps extensions,11,0,9,0,8,0,0,0
2022-04-10,decline push ups,10,0,10,0,9,0,0,0
2022-04-10,lat pulldown,9,65,8,65,9,60,0,0
2022-04-10,Militärpress,5,40,5,40,5,40,5,40
2022-04-10,ring Rows,10,4,11,3,11,0,0,0
2022-04-10,Weighted Pull ups,6,13.75,5,11.25,5,8.75,5,7.5
2022-04-22, band Triceps extensions,10,0,9,0,9,0,0,0
2022-04-22,band crossover,18,0,16,0,15,0,0,0
2022-04-22,Bench press,5,65,4,65,5,60,5,60
2022-04-22,lat pulldown,9,65,8,65,7,65,0,0
2022-04-22,ring Rows,12,0,11,0,9,0,0,0
2022-04-22,Weighted Pull ups,5,10,5,10,5,5,5,5
Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2021-12-05,Bench press,5,65,6,60,6,57.5,0,0
2021-12-05,Biceps,6,18,6,16,7,14,0,0
2021-12-05,dips,6,0,6,-10,9,-20,0,0
2021-12-05,Incline db press,8,26,6,26,7,24,0,0
2021-12-05,rear delt row,16,41,15,41,14,41,0,0
2021-12-05,side lateral,15,6,13,6,10,6,0,0
2021-12-13,Band curls,22,0,16,0,16,0,0,0
2021-12-13,decline push ups,9,0,7,0,6,0,6,0
2021-12-13,dips,6,0,6,0,5,0,0,0
2021-12-13,Weighted push ups,6,20,5,17.5,5,15,5,12.5
2021-12-13,wide row,16,19.5,16,19.5,16,19.5,0,0
2021-12-13,Y raise,12,5,12,5,12,5,0,0
2021-12-21,Barbell curls,10,35,10,35,9,35,0,0
2021-12-21,decline push ups,10,0,8,0,7,0,7,0
2021-12-21,dips,6,0,6,0,6,0,0,0
2021-12-21,side lateral,12,5,12,5,8,5,0,0
2021-12-21,Weighted push ups,5,20,4,17.5,4,15,4,12.5
2021-12-21,wide row,20,19.5,18,19.5,18,19.5,0,0
2021-12-31,Barbell curls,11,35,9,35,9,35,0,0
2021-12-31,decline push ups,8,0,6,0,6,0,5,0
2021-12-31,Machine press,13,40,10,40,10,40,0,0
2021-12-31,side lateral,16,10,16,10,16,10,0,0
2021-12-31,Weighted push ups,5,20,5,20,5,17.5,5,15
2021-12-31,wide row,15,30,18,30,16,30,0,0
2022-01-08,Barbell curls,10,37.5,8,37.5,7,37.5,0,0
2022-01-08,decline push ups,9,0,8,0,7,0,6,0
2022-01-08,side lateral,10,3.75,6,3.75,10,0,0,0
2022-01-08,straight arm pulldown,13,15,12,15,10,15,0,0
2022-01-08,Weighted push ups,5,20,4,20,4,17.5,5,15
2022-01-08,wide row,15,40,12,35,15,30,0,0
2022-01-16,Barbell curls,11,37.5,9,37.5,8,37.5,0,0
2022-01-16,decline push ups,7,0,6,0,6,0,5,0
2022-01-16,side lateral,8,3.75,12,0,14,0,0,0
2022-01-16,straight arm pulldown,15,15,12,15,11,15,0,0
2022-01-16,Weighted push ups,5,20,5,17.5,5,15,4,15
2022-01-16,wide row,12,45,13,40,12,40,0,0
2022-01-25,Barbell curls,9,40,8,40,7,40,0,0
2022-01-25,decline push ups,8,0,6,0,6,0,5,0
2022-01-25,side lateral,9,3.75,13,0,13,0,0,0
2022-01-25,straight arm pulldown,14,20,14,20,12,20,0,0
2022-01-25,Weighted push ups,6,20,5,17.5,6,15,4,15
2022-01-25,wide row,14,45,13,45,13,45,0,0
2022-02-03,Barbell curls,10,40,9,40,7,40,0,0
2022-02-03,decline push ups,7,0,7,0,6,0,5,0
2022-02-03,side lateral,15,0,14,0,9,0,0,0
2022-02-03,straight arm pulldown,16,20,13,20,10,20,0,0
2022-02-03,Weighted push ups,5,20,5,17.5,5,15,5,12.5
2022-02-03,wide row,12,50,12,50,10,50,0,0
2022-02-13,Barbell curls,8,42.5,6,42.5,5,42.5,0,0
2022-02-13,decline push ups,9,0,6,0,6,0,5,0
2022-02-13,side lateral,16,0,16,0,16,0,0,0
2022-02-13,straight arm pulldown,14,20,12,20,10,20,0,0
2022-02-13,Weighted push ups,4,20,6,15,5,15,6,12.5
2022-02-13,wide row,10,55,10,55,8,55,0,0
2022-02-22,Barbell curls,8,42.5,7,42.5,6,42.5,0,0
2022-02-22,decline push ups,9,0,6,0,6,0,6,0
2022-02-22,side lateral,18,0,18,0,18,0,0,0
2022-02-22,straight arm pulldown,16,20,14,20,12,20,0,0
2022-02-22,Weighted push ups,5,20,5,20,5,17.5,4,15
2022-02-22,wide row,12,55,11,55,10,55,0,0
2022-03-02,Barbell curls,10,42.5,8,42.5,7,42.5,0,0
2022-03-02,decline push ups,9,0,7,0,6,0,6,0
2022-03-02,Ring push ups,6,5,5,5,5,5,5,0
2022-03-02,side lateral,21,0,21,0,20,0,0,0
2022-03-02,straight arm pulldown,16,20,14,20,12,20,0,0
2022-03-02,wide row,12,55,11,55,10,55,0,0
2022-03-10,Barbell curls,9,45,7,45,6,45,0,0
2022-03-10,decline push ups,9,0,7,0,6,0,6,0
2022-03-10,Ring push ups,5,10,5,10,5,7.5,5,5
2022-03-10,side lateral,20,0,20,0,18,0,0,0
2022-03-10,straight arm pulldown,10,0,10,0,9,0,0,0
2022-03-10,wide row,14,55,12,55,12,55,0,0
2022-03-20,Barbell curls,9,45,7,45,7,45,0,0
