year,month,day,exercise,set #,reps,weight
2021,12,3,barbell hacksquat,1,5.0,85.0
2021,12,3,barbell hacksquat,2,5.0,80.0
2021,12,3,barbell hacksquat,3,5.0,75.0
2021,12,3,barbell hacksquat,4,0.0,0.0
2021,12,3,rdls,1,18.0,60.0
2021,12,3,rdls,2,16.0,60.0
2021,12,3,rdls,3,15.0,60.0
2021,12,3,rdls,4,0.0,0.0
2021,12,3,reverse nordics,1,12.0,0.0
2021,12,3,reverse nordics,2,12.0,0.0
2021,12,3,reverse nordics,3,12.0,0.0
2021,12,3,reverse nordics,4,0.0,0.0
2021,12,3,single leg hyper,1,8.0,0.0
2021,12,3,single leg hyper,2,16.0,0.0
2021,12,3,single leg hyper,3,14.0,0.0
2021,12,3,single leg hyper,4,0.0,0.0
2021,12,3,tibialis raise,1,17.0,0.0
2021,12,3,tibialis raise,2,12.0,0.0
2021,12,3,tibialis raise,3,10.0,0.0
2021,12,3,tibialis raise,4,0.0,0.0
2021,12,5,bench press,1,5.0,65.0
2021,12,5,bench press,2,6.0,60.0
2021,12,5,bench press,3,6.0,57.5
2021,12,5,bench press,4,0.0,0.0
2021,12,5,biceps,1,6.0,18.0
2021,12,5,biceps,2,6.0,16.0
2021,12,5,biceps,3,7.0,14.0
2021,12,5,biceps,4,0.0,0.0
2021,12,5,dips,1,6.0,0.0
2021,12,5,dips,2,6.0,-10.0
2021,12,5,dips,3,9.0,-20.0
2021,12,5,dips,4,0.0,0.0
2021,12,5,incline db press,1,8.0,26.0
2021,12,5,incline db press,2,6.0,26.0
2021,12,5,incline db press,3,7.0,24.0
2021,12,5,incline db press,4,0.0,0.0
2021,12,5,rear delt row,1,16.0,41.0
2021,12,5,rear delt row,2,15.0,41.0
2021,12,5,rear delt row,3,14.0,41.0
2021,12,5,rear delt row,4,0.0,0.0
2021,12,5,side lateral,1,15.0,6.0
2021,12,5,side lateral,2,13.0,6.0
2021,12,5,side lateral,3,10.0,6.0
2021,12,5,side lateral,4,0.0,0.0
2021,12,7,calves,1,12.0,127.0
2021,12,7,calves,2,12.0,118.0
2021,12,7,calves,3,10.0,109.0
2021,12,7,calves,4,0.0,0.0
2021,12,7,hamstring curls,1,8.0,60.0
2021,12,7,hamstring curls,2,8.0,60.0
2021,12,7,hamstring curls,3,7.0,55.0
2021,12,7,hamstring curls,4,0.0,0.0
2021,12,7,leg press,1,4.0,82.0
2021,12,7,leg press,2,6.0,73.0
2021,12,7,leg press,3,6.0,62.0
2021,12,7,leg press,4,0.0,0.0
2021,12,7,oblique maskin,1,16.0,32.0
2021,12,7,oblique maskin,2,20.0,25.0
2021,12,7,oblique maskin,3,20.0,25.0
2021,12,7,oblique maskin,4,0.0,0.0
2021,12,7,quad extensions,1,16.0,68.0
2021,12,7,quad extensions,2,12.0,68.0
2021,12,7,quad extensions,3,12.0,68.0
2021,12,7,quad extensions,4,0.0,0.0
2021,12,7,sumo dl,1,6.0,85.0
2021,12,7,sumo dl,2,6.0,85.0
2021,12,7,sumo dl,3,6.0,85.0
2021,12,7,sumo dl,4,0.0,0.0
2021,12,9,close grip row,1,16.0,35.0
2021,12,9,close grip row,2,16.0,40.0
2021,12,9,close grip row,3,15.0,40.0
2021,12,9,close grip row,4,0.0,0.0
2021,12,9,militärpress,1,5.0,42.5
2021,12,9,militärpress,2,5.0,40.0
2021,12,9,militärpress,3,6.0,37.5
2021,12,9,militärpress,4,7.0,35.0
2021,12,9,single leg hyper extensions,1,16.0,0.0
2021,12,9,single leg hyper extensions,2,16.0,0.0
2021,12,9,single leg hyper extensions,3,16.0,0.0
2021,12,9,single leg hyper extensions,4,0.0,0.0
2021,12,9,straight arm pulldown,1,12.0,22.0
2021,12,9,straight arm pulldown,2,12.0,22.5
2021,12,9,straight arm pulldown,3,10.0,22.5
2021,12,9,straight arm pulldown,4,0.0,0.0
2021,12,9,triceps,1,12.0,30.0
2021,12,9,triceps,2,6.0,30.0
2021,12,9,triceps,3,10.0,25.0
2021,12,9,triceps,4,0.0,0.0
2021,12,9,weighted pull ups,1,5.0,13.75
2021,12,9,weighted pull ups,2,5.0,12.5
2021,12,9,weighted pull ups,3,6.0,10.0
2021,12,9,weighted pull ups,4,6.0,7.5
2021,12,11,barbell hacksquat,1,5.0,90.0
2021,12,11,barbell hacksquat,2,6.0,85.0
2021,12,11,barbell hacksquat,3,5.0,85.0
2021,12,11,barbell hacksquat,4,6.0,80.0
2021,12,11,rdls,1,16.0,60.0
2021,12,11,rdls,2,16.0,60.0
2021,12,11,rdls,3,16.0,60.0
2021,12,11,rdls,4,16.0,60.0
2021,12,11,reverse nordics,1,16.0,0.0
2021,12,11,reverse nordics,2,15.0,0.0
2021,12,11,reverse nordics,3,15.0,0.0
2021,12,11,reverse nordics,4,0.0,0.0
2021,12,11,single leg hyper,1,22.0,0.0
2021,12,11,single leg hyper,2,22.0,0.0
2021,12,11,single leg hyper,3,22.0,0.0
2021,12,11,single leg hyper,4,0.0,0.0
2021,12,11,tibialis raise,1,22.0,0.0
2021,12,11,tibialis raise,2,15.0,0.0
2021,12,11,tibialis raise,3,12.0,0.0
2021,12,11,tibialis raise,4,0.0,0.0
2021,12,13,band curls,1,22.0,0.0
2021,12,13,band curls,2,16.0,0.0
2021,12,13,band curls,3,16.0,0.0
2021,12,13,band curls,4,0.0,0.0
2021,12,13,decline push ups,1,9.0,0.0
2021,12,13,decline push ups,2,7.0,0.0
2021,12,13,decline push ups,3,6.0,0.0
2021,12,13,decline push ups,4,6.0,0.0
2021,12,13,dips,1,6.0,0.0
2021,12,13,dips,2,6.0,0.0
2021,12,13,dips,3,5.0,0.0
2021,12,13,dips,4,0.0,0.0
2021,12,13,weighted push ups,1,6.0,20.0
2021,12,13,weighted push ups,2,5.0,17.5
2021,12,13,weighted push ups,3,5.0,15.0
2021,12,13,weighted push ups,4,5.0,12.5
2021,12,13,wide row,1,16.0,19.5
2021,12,13,wide row,2,16.0,19.5
2021,12,13,wide row,3,16.0,19.5
2021,12,13,wide row,4,0.0,0.0
2021,12,13,y raise,1,12.0,5.0
2021,12,13,y raise,2,12.0,5.0
2021,12,13,y raise,3,12.0,5.0
2021,12,13,y raise,4,0.0,0.0
2021,12,17,axelpress,1,6.0,19.5
2021,12,17,axelpress,2,5.0,19.5
2021,12,17,axelpress,3,5.0,19.5
2021,12,17,axelpress,4,4.0,19.5
2021,12,17,close grip row,1,15.0,0.0
2021,12,17,close grip row,2,13.0,0.0
2021,12,17,close grip row,3,12.0,0.0
2021,12,17,close grip row,4,0.0,0.0
2021,12,17,hyper extensions,1,28.0,0.0
2021,12,17,hyper extensions,2,25.0,0.0
2021,12,17,hyper extensions,3,25.0,0.0
2021,12,17,hyper extensions,4,0.0,0.0
2021,12,17,straight arm pulldown,1,15.0,15.0
2021,12,17,straight arm pulldown,2,13.0,15.0
2021,12,17,straight arm pulldown,3,13.0,15.0
2021,12,17,straight arm pulldown,4,0.0,0.0
2021,12,17,triceps,1,22.0,15.0
2021,12,17,triceps,2,12.0,20.0
2021,12,17,triceps,3,12.0,20.0
2021,12,17,triceps,4,0.0,0.0
2021,12,17,weighted pull ups,1,6.0,15.0
2021,12,17,weighted pull ups,2,5.0,15.0
2021,12,17,weighted pull ups,3,5.0,12.5
2021,12,17,weighted pull ups,4,5.0,12.5
2021,12,21,barbell curls,1,10.0,35.0
2021,12,21,barbell curls,2,10.0,35.0
2021,12,21,barbell curls,3,9.0,35.0
2021,12,21,barbell curls,4,0.0,0.0
2021,12,21,barbell hacksquat,1,4.0,90.0
2021,12,21,barbell hacksquat,2,5.0,85.0
2021,12,21,barbell hacksquat,3,5.0,85.0
2021,12,21,barbell hacksquat,4,5.0,85.0
2021,12,21,decline push ups,1,10.0,0.0
2021,12,21,decline push ups,2,8.0,0.0
2021,12,21,decline push ups,3,7.0,0.0
2021,12,21,decline push ups,4,7.0,0.0
2021,12,21,dips,1,6.0,0.0
2021,12,21,dips,2,6.0,0.0
2021,12,21,dips,3,6.0,0.0
2021,12,21,dips,4,0.0,0.0
2021,12,21,hyperextension,1,30.0,0.0
2021,12,21,hyperextension,2,30.0,0.0
2021,12,21,hyperextension,3,28.0,0.0
2021,12,21,hyperextension,4,0.0,0.0
2021,12,21,rdls,1,13.0,70.0
2021,12,21,rdls,2,16.0,70.0
2021,12,21,rdls,3,16.0,70.0
2021,12,21,rdls,4,16.0,70.0
2021,12,21,reverse nordics,1,14.0,0.0
2021,12,21,reverse nordics,2,14.0,0.0
2021,12,21,reverse nordics,3,13.0,0.0
2021,12,21,reverse nordics,4,0.0,0.0
2021,12,21,side lateral,1,12.0,5.0
2021,12,21,side lateral,2,12.0,5.0
2021,12,21,side lateral,3,8.0,5.0
2021,12,21,side lateral,4,0.0,0.0
2021,12,21,tibialis raise,1,20.0,0.0
2021,12,21,tibialis raise,2,14.0,0.0
2021,12,21,tibialis raise,3,11.0,0.0
2021,12,21,tibialis raise,4,0.0,0.0
2021,12,21,weighted push ups,1,5.0,20.0
2021,12,21,weighted push ups,2,4.0,17.5
2021,12,21,weighted push ups,3,4.0,15.0
2021,12,21,weighted push ups,4,4.0,12.5
2021,12,21,wide row,1,20.0,19.5
2021,12,21,wide row,2,18.0,19.5
2021,12,21,wide row,3,18.0,19.5
2021,12,21,wide row,4,0.0,0.0
2021,12,25,atg split squat,1,10.0,20.0
2021,12,25,atg split squat,2,14.0,10.0
2021,12,25,atg split squat,3,12.0,10.0
2021,12,25,atg split squat,4,10.0,10.0
2021,12,25,nordic curls,1,16.0,0.0
2021,12,25,nordic curls,2,15.0,0.0
2021,12,25,nordic curls,3,12.0,0.0
2021,12,25,nordic curls,4,0.0,0.0
2021,12,25,sumo dl,1,6.0,90.0
2021,12,25,sumo dl,2,6.0,90.0
2021,12,25,sumo dl,3,6.0,90.0
2021,12,25,sumo dl,4,6.0,90.0
2021,12,25,utfall?,1,20.0,0.0
2021,12,25,utfall?,2,20.0,0.0
2021,12,25,utfall?,3,20.0,0.0
2021,12,25,utfall?,4,0.0,0.0
2021,12,27,axelpress,1,5.0,40.0
2021,12,27,axelpress,2,6.0,35.0
2021,12,27,axelpress,3,5.0,35.0
2021,12,27,axelpress,4,6.0,30.0
2021,12,27,close grip row,1,18.0,19.5
2021,12,27,close grip row,2,16.0,19.5
2021,12,27,close grip row,3,14.0,19.5
2021,12,27,close grip row,4,0.0,0.0
2021,12,27,hyper extensions,1,25.0,10.0
2021,12,27,hyper extensions,2,25.0,10.0
2021,12,27,hyper extensions,3,18.0,16.0
2021,12,27,hyper extensions,4,0.0,0.0
2021,12,27,overhead band triceps,1,12.0,0.0
2021,12,27,overhead band triceps,2,10.0,0.0
2021,12,27,overhead band triceps,3,9.0,0.0
2021,12,27,overhead band triceps,4,0.0,0.0
2021,12,27,straight arm pulldown,1,10.0,20.0
2021,12,27,straight arm pulldown,2,10.0,20.0
2021,12,27,straight arm pulldown,3,15.0,15.0
2021,12,27,straight arm pulldown,4,0.0,0.0
2021,12,27,weighted pull ups,1,5.0,15.0
2021,12,27,weighted pull ups,2,5.0,15.0
2021,12,27,weighted pull ups,3,4.0,12.5
2021,12,27,weighted pull ups,4,4.0,10.0
2021,12,29,barbell hacksquat,1,6.0,90.0
2021,12,29,barbell hacksquat,2,6.0,90.0
2021,12,29,barbell hacksquat,3,5.0,90.0
2021,12,29,barbell hacksquat,4,5.0,90.0
2021,12,29,hyperextension,1,36.0,0.0
2021,12,29,hyperextension,2,35.0,0.0
2021,12,29,hyperextension,3,32.0,0.0
2021,12,29,hyperextension,4,0.0,0.0
2021,12,29,laying leg raise,1,20.0,0.0
2021,12,29,laying leg raise,2,18.0,0.0
2021,12,29,laying leg raise,3,16.0,0.0
2021,12,29,laying leg raise,4,0.0,0.0
2021,12,29,rdls,1,16.0,80.0
2021,12,29,rdls,2,15.0,80.0
2021,12,29,rdls,3,16.0,70.0
2021,12,29,rdls,4,16.0,70.0
2021,12,29,reverse nordics,1,16.0,0.0
2021,12,29,reverse nordics,2,22.0,0.0
2021,12,29,reverse nordics,3,12.0,0.0
2021,12,29,reverse nordics,4,0.0,0.0
2021,12,29,tibialis raise,1,18.0,0.0
2021,12,29,tibialis raise,2,14.0,0.0
2021,12,29,tibialis raise,3,12.0,0.0
2021,12,29,tibialis raise,4,0.0,0.0
2021,12,31,barbell curls,1,11.0,35.0
2021,12,31,barbell curls,2,9.0,35.0
2021,12,31,barbell curls,3,9.0,35.0
2021,12,31,barbell curls,4,0.0,0.0
2021,12,31,decline push ups,1,8.0,0.0
2021,12,31,decline push ups,2,6.0,0.0
2021,12,31,decline push ups,3,6.0,0.0
2021,12,31,decline push ups,4,5.0,0.0
2021,12,31,machine press,1,13.0,40.0
2021,12,31,machine press,2,10.0,40.0
2021,12,31,machine press,3,10.0,40.0
2021,12,31,machine press,4,0.0,0.0
2021,12,31,side lateral,1,16.0,10.0
2021,12,31,side lateral,2,16.0,10.0
2021,12,31,side lateral,3,16.0,10.0
2021,12,31,side lateral,4,0.0,0.0
2021,12,31,weighted push ups,1,5.0,20.0
2021,12,31,weighted push ups,2,5.0,20.0
2021,12,31,weighted push ups,3,5.0,17.5
2021,12,31,weighted push ups,4,5.0,15.0
2021,12,31,wide row,1,15.0,30.0
2021,12,31,wide row,2,18.0,30.0
2021,12,31,wide row,3,16.0,30.0
2021,12,31,wide row,4,0.0,0.0
2022,1,2,atg split squat,1,10.0,20.0
2022,1,2,atg split squat,2,8.0,20.0
2022,1,2,atg split squat,3,7.0,20.0
2022,1,2,atg split squat,4,7.0,20.0
2022,1,2,leg curls,1,16.0,5.0
2022,1,2,leg curls,2,12.0,5.0
2022,1,2,leg curls,3,12.0,5.0
2022,1,2,leg curls,4,0.0,0.0
2022,1,2,sumo dl,1,5.0,95.0
2022,1,2,sumo dl,2,5.0,95.0
2022,1,2,sumo dl,3,5.0,90.0
2022,1,2,sumo dl,4,5.0,90.0
2022,1,2,utfall,1,26.0,0.0
2022,1,2,utfall,2,24.0,0.0
2022,1,2,utfall,3,24.0,0.0
2022,1,2,utfall,4,0.0,0.0
2022,1,4,axelpress,1,39.5,9.765
2022,1,4,axelpress,2,33.5,9.765
2022,1,4,axelpress,3,29.5,9.7625
2022,1,4,axelpress,4,25.0,9.75
2022,1,4,overhead band triceps,1,13.0,0.0
2022,1,4,overhead band triceps,2,11.0,0.0
2022,1,4,overhead band triceps,3,10.0,0.0
2022,1,4,overhead band triceps,4,0.0,0.0
2022,1,4,single arm band row,1,30.0,0.0
2022,1,4,single arm band row,2,24.0,0.0
2022,1,4,single arm band row,3,20.0,0.0
2022,1,4,single arm band row,4,0.0,0.0
2022,1,4,straight arm pulldown,1,9.0,20.0
2022,1,4,straight arm pulldown,2,16.0,15.0
2022,1,4,straight arm pulldown,3,15.0,15.0
2022,1,4,straight arm pulldown,4,0.0,0.0
2022,1,4,weighted chin ups,1,6.0,15.0
2022,1,4,weighted chin ups,2,5.0,12.5
2022,1,4,weighted chin ups,3,5.0,10.0
2022,1,4,weighted chin ups,4,4.0,10.0
2022,1,6,barbell hacksquat,1,5.0,95.0
2022,1,6,barbell hacksquat,2,5.0,95.0
2022,1,6,barbell hacksquat,3,5.0,95.0
2022,1,6,barbell hacksquat,4,5.0,95.0
2022,1,6,nordic curls,1,7.0,0.0
2022,1,6,nordic curls,2,6.0,0.0
2022,1,6,nordic curls,3,5.0,0.0
2022,1,6,nordic curls,4,0.0,0.0
2022,1,6,rdls,1,16.0,75.0
2022,1,6,rdls,2,16.0,80.0
2022,1,6,rdls,3,16.0,80.0
2022,1,6,rdls,4,14.0,80.0
2022,1,6,reverse nordics,1,12.0,0.0
2022,1,6,reverse nordics,2,10.0,0.0
2022,1,6,reverse nordics,3,10.0,0.0
2022,1,6,reverse nordics,4,0.0,0.0
2022,1,8,barbell curls,1,10.0,37.5
2022,1,8,barbell curls,2,8.0,37.5
2022,1,8,barbell curls,3,7.0,37.5
2022,1,8,barbell curls,4,0.0,0.0
2022,1,8,decline push ups,1,9.0,0.0
2022,1,8,decline push ups,2,8.0,0.0
2022,1,8,decline push ups,3,7.0,0.0
2022,1,8,decline push ups,4,6.0,0.0
2022,1,8,side lateral,1,10.0,3.75
2022,1,8,side lateral,2,6.0,3.75
2022,1,8,side lateral,3,10.0,0.0
2022,1,8,side lateral,4,0.0,0.0
2022,1,8,straight arm pulldown,1,13.0,15.0
2022,1,8,straight arm pulldown,2,12.0,15.0
2022,1,8,straight arm pulldown,3,10.0,15.0
2022,1,8,straight arm pulldown,4,0.0,0.0
2022,1,8,weighted push ups,1,5.0,20.0
2022,1,8,weighted push ups,2,4.0,20.0
2022,1,8,weighted push ups,3,4.0,17.5
2022,1,8,weighted push ups,4,5.0,15.0
2022,1,8,wide row,1,15.0,40.0
2022,1,8,wide row,2,12.0,35.0
2022,1,8,wide row,3,15.0,30.0
2022,1,8,wide row,4,0.0,0.0
2022,1,10,atg split squat,1,11.0,20.0
2022,1,10,atg split squat,2,9.0,20.0
2022,1,10,atg split squat,3,7.0,20.0
2022,1,10,atg split squat,4,7.0,20.0
2022,1,10,leg curls,1,7.0,10.0
2022,1,10,leg curls,2,13.0,5.0
2022,1,10,leg curls,3,11.0,5.0
2022,1,10,leg curls,4,0.0,0.0
2022,1,10,sissy sqauts,1,6.0,0.0
2022,1,10,sissy sqauts,2,6.0,0.0
2022,1,10,sissy sqauts,3,6.0,0.0
