Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2021-12-09,Close grip row,16,35,16,40,15,40,0,0
2021-12-09,Militärpress,5,42.5,5,40,6,37.5,7,35
2021-12-09,Single leg hyper extensions,16,0,16,0,16,0,0,0
2021-12-09,straight arm pulldown,12,22,12,22.5,10,22.5,0,0
2021-12-09,Triceps,12,30,6,30,10,25,0,0
2021-12-09,Weighted Pull ups,5,13.75,5,12.5,6,10,6,7.5
2021-12-17,Axelpress,6,19.5,5,19.5,5,19.5,4,19.5
2021-12-17,Close grip row,15,0,13,0,12,0,0,0
2021-12-17,Hyper extensions,28,0,25,0,25,0,0,0
2021-12-17,straight arm pulldown,15,15,13,15,13,15,0,0
2021-12-17,Triceps,22,15,12,20,12,20,0,0
2021-12-17,Weighted Pull ups,6,15,5,15,5,12.5,5,12.5
2021-12-27,Axelpress,5,40,6,35,5,35,6,30
2021-12-27,Close grip row,18,19.5,16,19.5,14,19.5,0,0
2021-12-27,Hyper extensions,25,10,25,10,18,16,0,0
2021-12-27,Overhead band Triceps,12,0,10,0,9,0,0,0
2021-12-27,straight arm pulldown,10,20,10,20,15,15,0,0
2021-12-27,Weighted Pull ups,5,15,5,15,4,12.5,4,10
2022-01-04,Axelpress,7,19.5,6,19.5,5,19.5,5,19.5
2022-01-04,Axelpress,9,30,7,30,9,25,0,0
2022-01-04,Overhead band Triceps,13,0,11,0,10,0,0,0
2022-01-04,Single arm Band row,30,0,24,0,20,0,0,0
2022-01-04,straight arm pulldown,9,20,16,15,15,15,0,0
2022-01-04,Weighted Chin ups,6,15,5,12.5,5,10,4,10
2022-01-12,Axelpress,8,19.5,7,19.5,5,19.5,5,19.5
2022-01-12,decline press,10,0,9,0,8,0,0,0
2022-01-12,inverted row,13,0,12,0,12,0,0,0
2022-01-12,lat pulldown,15,50,10,55,8,55,0,0
2022-01-12,Overhead band Triceps,11,0,11,0,9,0,0,0
2022-01-12,Weighted Chin ups,5.5,15,5,12.5,5,10,4,10
2022-01-21, band Triceps pushdowns,17,0,18,0,16,0,0,0
2022-01-21,Axelpress,9,19.5,7,19.5,5,19.5,5,19.5
2022-01-21,decline press,9,0,8,0,7,0,0,0
2022-01-21,inverted row,14,0,13,0,13,0,0,0
2022-01-21,lat pulldown,12,55,10,55,8,55,0,0
2022-01-21,Weighted Chin ups,6,15,5,15,5,12.5,5,10
2022-01-30, band Triceps pushdowns,16,0,16,0,16,0,0,0
2022-01-30,Axelpress,6,22,4,22,6,19.5,5,19.5
2022-01-30,decline press,11,0,9,0,7,0,0,0
2022-01-30,inverted row,15,0,14,0,12,0,0,0
2022-01-30,lat pulldown,13,55,10,55,8,55,0,0
2022-01-30,Weighted Chin ups,6,16.25,5,15,5,13.75,5,12.5
2022-02-07, band Triceps pushdowns,18,0,16,0,16,0,0,0
2022-02-07,Axelpress,6,22,5,22,6,19.5,5,19.5
2022-02-07,decline press,12,0,10,0,8,0,0,0
2022-02-07,inverted row,13,0,13,0,12,0,0,0
2022-02-07,lat pulldown,10,60,8,60,8,55,0,0
2022-02-07,Weighted Chin ups,6,16.25,5,16.25,5,13.75,5,12.5
2022-02-18, band Triceps pushdowns,16,0,15,0,14,0,0,0
2022-02-18,Axelpress,6,22,5,22,6,19.5,5,19.5
2022-02-18,decline press,12,0,10,0,9,0,0,0
2022-02-18,inverted row,12,0,12,0,12,0,0,0
2022-02-18,lat pulldown,10,60,8,60,10,55,0,0
2022-02-18,Weighted Pull ups,5,16.25,5,15,5,13.75,5,12.5
2022-02-26, band Triceps pushdowns,16,0,15,0,14,0,0,0
2022-02-26,Axelpress,6,22,6,22,4,22,6,19.5
2022-02-26,decline press,11,0,9,0,8,0,0,0
2022-02-26,lat pulldown,12,60,9,60,8,60,0,0
2022-02-26,ring Rows,11,0,11,0,9,0,0,0
2022-02-26,Weighted Pull ups,5,16.25,5,15,4,12.5,5,10
2022-03-06, band Triceps pushdowns,16,0,15,0,15,0,0,0
2022-03-06,Axelpress,6,22,5,22,7,19.5,6,19.5
2022-03-06,decline press,11,0,10,0,8,0,0,0
2022-03-06,lat pulldown,10,65,8,65,7,65,0,0
2022-03-06,ring Rows,11,0,11,0,11,0,0,0
2022-03-06,Weighted Pull ups,5,16.25,5,13.75,4,12.5,5,10
2022-03-14, band Triceps pushdowns,0,0,0,0,0,0,0,0
2022-03-14,Axelpress,8,0,7,0,7,0,7,0
2022-03-14,decline press,0,0,0,0,0,0,0,0
2022-03-14,lat pulldown,0,0,0,0,0,0,0,0
2022-03-14,ring Rows,0,0,0,0,0,0,0,0
2022-03-14,Weighted Pull ups,12,0,8,0,6,0,6,0
2022-03-25, band Triceps extensions,13,0,9,0,9,0,0,0
2022-03-25,Axelpress,7,20,6,20.75,4,20.75,4,20.75
2022-03-25,decline press,12,0,10,0,8,0,0,0
2022-03-25,lat pulldown,8,65,8,60,10,55,0,0
2022-03-25,ring Rows,12,0,11,0,10,0,0,0
2022-03-25,Weighted Pull ups,4,13.75,5,11.25,4,8.75,4,7.5
2022-04-02, band Triceps extensions,10,0,8,0,8,0,0,0
2022-04-02,Axelpress,8,20,5,20.75,5,20.75,4,20.75
2022-04-02,decline press,11,0,9,0,9,0,0,0
2022-04-02,lat pulldown,9,65,7,65,8,60,0,0
2022-04-02,ring Rows,12,0,11,0,10,0,0,0
2022-04-02,Weighted Pull ups,5,13.75,5,11.25,5,8.75,5,7.5
2022-04-10, band Triceps extensions,11,0,9,0,8,0,0,0
2022-04-10,decline push ups,10,0,10,0,9,0,0,0
2022-04-10,lat pulldown,9,65,8,65,9,60,0,0
2022-04-10,Militärpress,5,40,5,40,5,40,5,40
2022-04-10,ring Rows,10,4,11,3,11,0,0,0
2022-04-10,Weighted Pull ups,6,13.75,5,11.25,5,8.75,5,7.5
2022-04-22, band Triceps extensions,10,0,9,0,9,0,0,0
2022-04-22,band crossover,18,0,16,0,15,0,0,0
2022-04-22,Bench press,5,65,4,65,5,60,5,60
2022-04-22,lat pulldown,9,65,8,65,7,65,0,0
2022-04-22,ring Rows,12,0,11,0,9,0,0,0
2022-04-22,Weighted Pull ups,5,10,5,10,5,5,5,5
