Date,excercise,set 1 reps,set 1 weight,set 2 reps,set 2 weight,set 3 reps,set 3 weight,set 4 reps,set 4 weight
2022-04-26,Dips,10,0,7,0,6,0,0,0
2022-04-26,Ring rows,15,0,12,0,8,0,0,0
2022-04-26,Tricep extensions,10,0,10,0,10,0,0,0
2022-04-28,BW ATG split squats,18,0,16,0,16,0,0,0
2022-04-30,delt row,13,0,11,0,11,0,0,0
2022-05-02,reverse nordics,16,10,14,0,14,0,0,0
2022-05-04,Dips,10,0,9,0,8,0,0,0
2022-05-04,Ring rows,14,0,10,0,9,0,0,0
2022-05-04,Tricep extensions,15,0,12,0,10,0,0,0
2022-05-06,BW ATG split squats,20,0,18,0,18,0,0,0
2022-05-08,delt row,14,0,12,0,11,0,0,0
2022-05-08,straight arm pulldown,12,0,12,0,11,0,0,0
2022-05-10,reverse nordics,14,0,13,0,12,0,0,0
2022-05-12,Dips,12,0,9,0,7,0,0,0
2022-05-12,Ring rows,16,0,11,0,10,0,0,0
2022-05-12,Tricep extensions,16,0,14,0,11,0,0,0
2022-05-14,BW ATG split squats,22,0,20,0,20,0,0,0
2022-05-18,delt row,13,0,11,0,10,0,0,0
2022-05-20,reverse nordics,14,0,13,0,12,0,0,0
2022-05-22,Dips,8,5,10,0,9,0,0,0
2022-05-22,Ring rows,15,0,13,0,12,0,0,0
2022-05-22,Tricep extensions,14,0,13,0,12,0,0,0
2022-05-28,delt row,13,0,11,0,11,0,0,0
2022-05-28,leg curls,0,0,0,0,0,0,0,0
2022-05-28,reverse nordics,0,0,0,0,0,0,0,0
2022-06-02,Dips,8,5,8,0,6,0,0,0
2022-06-02,Ring rows,14,0,10,0,8,0,0,0
2022-06-02,Tricep extensions,12,0,14,0,13,0,0,0
2022-06-06,delt row,15,0,13,0,11,0,0,0
2022-06-08,reverse nordics,8,0,8,0,7,0,0,0
2022-06-11,Dips,11,0,9,0,7,0,0,0
2022-06-11,Ring rows,14,0,11,0,10,0,0,0
2022-06-11,Tricep extensions,14,0,12,0,11,0,0,0
2022-06-15,delt row,13,0,11,0,11,0,0,0
2022-06-17,reverse nordics,8,0,7,0,7,0,0,0
2022-06-19,Dips,10,0,8,0,7,0,0,0
2022-06-19,Ring rows,15,0,12,0,11,0,0,0
2022-06-19,Tricep extensions,14,0,11,0,10,0,0,0
2022-06-24,delt row,14,0,11,0,11,0,0,0
2022-06-24,ring curls,7,0,6,0,6,0,0,0
2022-06-27,reverse nordics,11,0,9,0,8,0,0,0
2022-06-29,Dips,10,0,8,0,7,0,0,0
2022-06-29,Ring rows,15,0,13,0,12,0,0,0
2022-06-29,side lateral,14,5,12,5,11,0,0,0
2022-06-29,Tricep extensions,15,0,14,0,11,0,0,0
2022-07-03,delt row,16,0,13,0,12,0,0,0
2022-07-08,reverse nordics,10,0,10,0,10,0,0,0
2022-07-10,Dips,11,0,6,0,5,0,0,0
2022-07-10,Tricep extensions,10,0,9,0,7,0,0,0
2022-07-10,trx rows,14,0,10,0,9,0,0,0
2022-07-12,atg split squat,17,0,20,0,18,0,0,0
2022-07-14,delt row,14,0,13,0,13,0,0,0
2022-07-14,ring push ups,7,0,5,0,4,0,4,0
2022-07-16,reverse nordics,9,0,9,0,8,0,0,0
2022-07-18,Dips,11,0,6,0,6,0,0,0
2022-07-18,Tricep extensions,12,0,9,0,7,0,0,0
2022-07-18,trx rows,14,0,11,0,9,0,0,0
2022-07-20,atg split squat,24,0,20,0,18,0,0,0
2022-07-23,delt row,14,0,12,0,12,0,0,0
2022-07-23,ring push ups,8,0,5,0,5,0,4,0
2022-07-26,leg curls,11,10,10,10,0,0,0,0
2022-07-26,reverse nordics,0,0,12,0,0,0,0,0
2022-07-28,Dips,11,0,7,0,6,0,0,0
2022-07-28,Tricep extensions,10,0,10,0,9,0,0,0
2022-07-28,trx rows,15,0,11,0,9,0,0,0
2022-08-02,delt row,15,0,12,0,12,0,0,0
2022-08-02,ring push ups,8,0,5,0,5,0,5,0
2022-08-04,reverse nordics,13,0,12,0,10,0,0,0
2022-08-06,Dips,10,0,7,0,6,0,0,0
2022-08-06,Tricep extensions,11,0,10,0,10,0,0,0
2022-08-06,trx rows,14,0,9,0,9,0,0,0
2022-08-08,atg heel elevated squat,,,0,0,0,0,0,0
2022-08-08,Hamstring curls,,,0,0,0,0,0,0
2022-08-10,delt row,15,0,13,0,13,0,0,0
2022-08-10,ring push ups,8,0,6,0,5,0,5,0
2022-08-15,band crossover,20,0,20,0,19.5,0,0,0
2022-08-15,one arm lat pulldown,0,0,0,0,0,0,0,0
2022-08-15,push ups,14,0,12,0,10,0,9,0
2022-08-15,side lateral,0,0,0,0,0,0,0,0
2022-08-15,Tricep extensions,0,0,0,0,0,0,0,0
2022-08-15,trx rows,15,0,11,0,9,0,0,0
2022-08-21,delt row,18,0,14,0,12,0,0,0
2022-08-21,ring push ups,9,0,7,0,4.5,0,4,0
2022-08-25,Dips,10,0,7,0,5,0,0,0
2022-08-25,Tricep pushdowns,12,0,11,0,11,0,0,0
2022-08-25,trx rows,10,10,8,10,9,0,0,0
2022-08-28,atg heel elevated squat,0,0,0,0,0,0,0,0
2022-08-28,Hamstring curls,0,0,0,0,0,0,0,0
2022-08-30,delt row,12,5,12,5,13,0,0,0
2022-08-30,ring push ups,9,0,6,0,5,0,4,0
2022-09-04,Dips,9,0,6,0,5,0,0,0
2022-09-04,Tricep extensions,10,0,10,0,10,0,0,0
2022-09-04,trx rows,10,10,8,10,9,0,0,0
2022-09-06,atg heel elevated squat,0,0,0,0,0,0,0,0
2022-09-06,Hamstring curls,0,0,0,0,0,0,0,0
2022-09-08,delt row,13,5,11,5,13,0,0,0
2022-09-08,ring push ups,8,0,7,0,6,0,5,0
2022-09-13,Dips,10,0,7,0,6,0,0,0
2022-09-13,Tricep extensions,11,0,10,0,9,0,0,0
2022-09-13,trx rows,13,10,8,10,8,0,0,0
2022-09-15,BW hypers,22,0,20,0,20,0,0,0
2022-09-18,delt row,13,10,9,10,9,0,0,0
2022-09-18,ring push ups,9,0,6,0,5,0,4,0
2022-09-23,Dips,10,0,6,0,5,0,0,0
2022-09-23,Tricep extensions,11,0,9,0,9,0,0,0
2022-09-23,trx rows,11,15,8,10,8,0,0,0
2022-09-26,atg heel elevated squat,0,0,0,0,0,0,0,0
2022-09-26,delt row,13,10,10,10,12,0,0,0
2022-09-26,Hamstring curls,0,0,0,0,,0,0,0
2022-09-26,ring push ups,9,0,7,0,5,0,5,0
2022-09-30,leg curls,0,0,0,0,0,0,0,0
